id,title,img,price,category
78,"Hoover FloorMate Deluxe Hard Floor Cleaner Machine, Wet Dry Vacuum, FH40160PC, Silver",61yZtb-4G2L._AC_UL320_.jpg,139.99,Vacuum Cleaners & Floor Care
79,"BISSELL, 3061 Featherweight Cordless Stick Vacuum, Electric Blue, Black",71LElQxh+PL._AC_UL320_.jpg,128.74,Vacuum Cleaners & Floor Care
80,"Shark RV912S EZ Robot Vacuum with Self-Empty Base, Bagless, Row-by-Row Cleaning, Perfect for Pet Hair, Compatible with Alexa, Wi-Fi, Dark Gray",71Q3n6DjMwL._AC_UL320_.jpg,329.99,Vacuum Cleaners & Floor Care
81,"Aspiron Canister Vacuum Cleaner, 1200W Lightweight Bagless Vacuum Cleaner, 3.7QT Capacity, Automatic Cord Rewind, 5 Tools, HEPA Filter, Pet Friendly Vacuum Cleaner for Hard Floors, Carpet, Pet Hair",711QS071OkL._AC_UL320_.jpg,118.94,Vacuum Cleaners & Floor Care
82,"Lefant M210 Pro Robot Vacuum Cleaner, Tangle-Free 2200Pa Suction, Slim,Quiet, Self-Charging Wi-Fi/APP Remote Connected Robotic Vacuum Cleaner, Work with Alexa, Ideal for Pet Hair, Hard Floors",61dnn7UfZ2L._AC_UL320_.jpg,209.99,Vacuum Cleaners & Floor Care
83,"Belife S10 Cordless Vacuum Cleaner, Stick Vacuum Cleaners for Home Carpet and Hardwood Floor, Household Wireless Vacuum for Pet Hair, 22Kpa Powerful Digital Motor, Up to 40Min Runtime",710NFmfzojL._AC_UL320_.jpg,119.99,Vacuum Cleaners & Floor Care
84,Dyson Cyclone V10 Animal Cordless Vacuum Cleaner,51RO7pTXQvL._AC_UL320_.jpg,460.95,Vacuum Cleaners & Floor Care
85,"roborock Q Revo Robot Vacuum and Mop, Auto-Drying, Auto Mop Washing, Dual Spinning Mops, Auto Mop Lifting, Self-Refilling, Self-Emptying, Reactive Tech Obstacle Avoidance, 5500Pa Suction, Black",61A3pnOA0zL._AC_UL320_.jpg,899.99,Vacuum Cleaners & Floor Care
86,"Cordless Vacuum Cleaner, 450W Stick Vacuum Cleaner, OLED Color Screen Display, Up to 55mins, 8 Animation Modes, Multi-cone Filtration, Handheld Vacuum for Hardwood Floors, Carpets, Pet Hair S14",81oTBeCN3UL._AC_UL320_.jpg,199.99,Vacuum Cleaners & Floor Care
87,"Shark AI Ultra Voice Control Robot Vacuum with Matrix Clean Navigation, Home Mapping, 60-Day Capacity, Self-Empty Base for Homes with Pets (Silver/Black)",71pj2PO+biL._AC_UL320_.jpg,427.24,Vacuum Cleaners & Floor Care
88,"BISSELL Revolution HydroSteam Pet Carpet Cleaner, 3432, Upright, Multi",81-3REGGakL._AC_UL320_.jpg,399.99,Vacuum Cleaners & Floor Care
89,"WLUPEL Cordless Vacuum Cleaner, 33Kpa Stick Vacuum Cleaner, 400W Handheld Vacuum with LED Touch Screen, 50mins Runtime for Pet Hair, Carpet and Hardwood Floor(KB-H015)",618EgZyFMoL._AC_UL320_.jpg,199.99,Vacuum Cleaners & Floor Care
90,"BISSELL CleanView Swivel Pet Reach Full-Size Vacuum Cleaner, with Quick Release Wand, & Swivel Steering, 3198A, Color May Vary",61tRR0P86DL._AC_UL320_.jpg,139.04,Vacuum Cleaners & Floor Care
91,"roborock Q5+ Robot Vacuum with Self-Empty Dock, Hands-Free Cleaning for up to 7 Weeks, 2700Pa Max Suction, 180mins Max Run-Time, Compatible with Alexa, Perfect for Hard Floors, Carpets, and Pet Hair",61Uv25RUhbL._AC_UL320_.jpg,699.99,Vacuum Cleaners & Floor Care
92,"Bissell SpotBot Pet handsfree Spot and Stain Portable Deep Cleaner, Blue, 2117A",81vVJB8MsSL._AC_UL320_.jpg,185.39,Vacuum Cleaners & Floor Care
93,"Tikom Robot Vacuum and Mop, G8000 Robot Vacuum Cleaner, 2700Pa Strong Suction, Self-Charging, Good for Hard Floors, Black",714hksaF5dL._AC_UL320_.jpg,199.99,Vacuum Cleaners & Floor Care
94,"BISSELL CrossWave Floor and Area Rug Cleaner, Wet-Dry Vacuum with Bonus Brush-Roll and Extra Filter, 1785A , Green",71F29cVpWGL._AC_UL320_.jpg,249.99,Vacuum Cleaners & Floor Care
95,"BISSELL Power Steamer Heavy Duty 3-in-1 Steam Mop and Handheld SteamShot for Indoor and Outdoor Use:Garage, Workshop, Auto, Boat, Recreational Vehicles; Windows,Outdoor Furniture and Decks,Black,2685A",81AAroYEuaL._AC_UL320_.jpg,175.09,Vacuum Cleaners & Floor Care
96,"EICOBOT Cordless Vacuum Cleaner, 20000Pa High Efficiency Stick Vacuum, 6 in 1 Lightweight Quiet Vacuum Cleaner with 35min Long Runtime, Detachable Battery, for Hardwood Floor Pet Hair, Car, Crimson",71ZIncFpUTL._AC_UL320_.jpg,319.99,Vacuum Cleaners & Floor Care
97,"ORECK COMMERCIAL XL Pro 5 Super Compact Canister Bagged Vacuum Cleaner with Attachments, Lightweight, Carriable Portable Professional Grade, BB900-DGR, Black",71Be7MmeY-S._AC_UL320_.jpg,109.99,Vacuum Cleaners & Floor Care
98,"iRobot Roomba s9+ (9550) Self Emptying Robot Vacuum - Empties Itself for up to 60 Days, Detects & Cleans Around Objects in Your Home, Smart Mapping, Powerful Suction, Corner & Edge Cleaning",718mLGnc2-L._AC_UL320_.jpg,699.99,Vacuum Cleaners & Floor Care
99,"EICOBOT Robot Vacuum Cleaner, 2300Pa Strong Suction Power, Tangle-Free, Slim, Quiet, 120 Mins Runtime, Auto Self-Charging Robotic Vacuum Cleaner Ideal for Low Carpet, Pet Hair, Hard Floors, Black",716YyksfLcL._AC_UL320_.jpg,119.99,Vacuum Cleaners & Floor Care
100,"BuTure Cordless Vacuum Cleaner - 450W 33Kpa with Auto Mode Docking Station, Stick Vacuum Cleaner Handheld Wireless Household Vacuum Cleaner for Pet Hair Carpet and Hard Floor",61XhazAc9RL._AC_UL320_.jpg,199.99,Vacuum Cleaners & Floor Care
101,"Kärcher - S 4 Twin Walk-Behind Outdoor Hand Push Sweeper - 5.25 Gallon Capacity - 26.8"" Sweeping Width - Sweeps up to 26,000 ft²/Hour,Yellow",61aKh3EGdyL._AC_UL320_.jpg,137.9,Vacuum Cleaners & Floor Care
102,"BLACK+DECKER Powerseries Extreme Cordless Stick Vacuum Cleaner for Pets, Purple (BSV2020P)",71H-RcX3A0L._AC_UL320_.jpg,159.0,Vacuum Cleaners & Floor Care
103,"Shark NV105 Navigator Light Upright Vacuum with Large Dust Cup Capacity, Duster Crevice Tool & Upholstery Tool for Dependable Multi-Surface Cleaning, Blue",41TZylPb-lL._AC_UL320_.jpg,129.99,Vacuum Cleaners & Floor Care
104,"BuTure Cordless Vacuum Cleaner, 450W 33KPA Stick Vacuum with Color Touch Display, Up to 55Mins, Rechargeable Cordless Vacuum for Hardwood Floor Carpet Pet Hair",71l4gAu5FML._AC_UL320_.jpg,199.99,Vacuum Cleaners & Floor Care
105,Bissell Little Green ProHeat Machine - Portable Carpet & Upholstery Steam Cleaner,9110jd18uZL._AC_UL320_.jpg,129.99,Vacuum Cleaners & Floor Care
106,"Fykee Vacuum Cleaner, Cordless Vacuum Cleaner with 1.2L Dust Cup and 80,000 PRM Brushless Motor, Stick Vacuum Cleaner with Large Detachable Battery up to 35 mins Run Time (Red)",61FEBb180TL._AC_UL320_.jpg,149.99,Vacuum Cleaners & Floor Care
107,"DEVOAC 28Kpa Cordless Vacuum Cleaner, 350W Powerful Stick Vacuum Cleaner with Self-Standing, 45 Min Max Runtime, 6 in 1 Lightweight Wireless Vacuum Cleaner for Hardwood Floor Carpet Pet Hair",61gNkGA4JvL._AC_UL320_.jpg,119.99,Vacuum Cleaners & Floor Care
108,"Shark IQ App-Controlled Self-Emptying Robot Vacuum, RV100AE/UR1000SR - Black (Renewed)",515NCPTCdFL._AC_UL320_.jpg,349.95,Vacuum Cleaners & Floor Care
